,round_name,amountUSD,votes,uniqueContributors,chain_id,round_id,has_matching_cap,matching_cap_amount,matching_funds_available,token,has_min_donation_threshold,min_donation_threshold_amount,sybilDefense
0,Vault Round 1,470425,1282,792,250,0x8dce7a66e0c310f9f89e847dba83b2344d589161,true,15,750000,0x0000000000000000000000000000000000000000,true,1,true
1,Web3 Open Source Software,362713,202303,39707,10,0x8de918f0163b2021839a8d84954dd7e8e151326d,true,5,300000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,true
2,Web3 Open Source Software Round,330690,81811,14554,1,0x12bb5bbbfe596dbc489d209299b8302c3300fa40,true,4,350000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
3,Web3 Open Source Software ,297068,133861,26250,424,0xd4cc0dd193c7dc1d665ae244ce12d7fab337a008,true,7.42,200000,0x6c121674ba6736644a7e73a8741407fe8a5ee5ba,true,0.969,true
4,Web3 Community and Education,138609,52293,16707,424,0x98720dd1925d34a2453ebc1f91c9d48e7e89ec29,true,7.42,200000,0x6c121674ba6736644a7e73a8741407fe8a5ee5ba,true,0.969,true
5,Zuzalu Q1-Events Round,129332,25413,4055,10,0xf89aad3fad6c3e79ffa3ccc835620fcc7e55f919,true,50,166.5,0x0000000000000000000000000000000000000000,true,1,true
6,Ethereum Infrastructure,125186,68522,11956,424,0x222ea76664ed77d18d4416d2b2e77937b76f0a35,true,10,106.9,0x0000000000000000000000000000000000000000,true,0.96,true
7,Web3 Community and Education ,104809,29186,12421,10,0x2871742b184633f8dc8546c6301cbc209945033e,true,6,250000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
8,Gitcoin Citizens  Round #1: Retroactive funding ,82995,57366,17023,10,0x984e29dcb4286c2d9cbaa2c238afdd8a191eefbc,true,10,20000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,1,true
9,Zuzalu Q1-Tech Round,68222,36194,4681,10,0xd875fa07bedce182377ee54488f08f017cb163d4,true,50,83.5,0x0000000000000000000000000000000000000000,true,1,true
10,Web3 Community and Education,62640,2896,1023,1,0xaa40e2e5c8df03d792a52b5458959c320f86ca18,true,6,200000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
11,"Ethereum Core Infrastructure, Research, and Development",58746,82364,14406,137,0xa1d52f9b5339792651861329a046dd912761e9a9,true,10,200000,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359,true,0.969,true
12,Ethereum Infrastructure,42066,4307,1062,1,0xdf22a2c8f6ba9376ff17ee13e6154b784ee92094,true,10,200000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
13,Infra on Polygon#1,41914,23530,4567,137,0x546b0bf47c5b5253ff83c8d614662adb7d3ba9b1,false,,130000,0x0000000000000000000000000000000000000000,false,,false
14,Climate Solutions,40691,1970,495,1,0x421510312c40486965767be5ea603aa8a5707983,true,10,350000,0x6b175474e89094c44da98b954eedeac495271d0f,true,1,true
15,Climate Solutions Round,35329,14561,3377,10,0x5eb890e41c8d2cff75ea942085e406bb90016561,true,8,150000,0xda10009cbd5d07dd0cecc66161fc93d7c9000da1,true,0.96,true
