Project,Matching Amount,matching_percent,Strategy,Pct_Diff,Project_Short
Zanzalu,4.076905032735494,2.4485916112525494,POAP Cluster Match,109.05218267674117,Zanzalu
Zanzalu,4.557243743226362,2.737083329265082,POAP Qf,109.05218267674117,Zanzalu
Zanzalu,3.707315474591609,2.226615900655621,POAP Pairwise,109.05218267674117,Zanzalu
Zanzalu,2.430946165977821,1.4600277273140065,Pairwise,109.05218267674117,Zanzalu
Zanzalu,4.3879801928735835,2.6354235392634138,Cluster Match,109.05218267674117,Zanzalu
Zanzalu,2.1799551121038805,1.3092823496119403,Qf,109.05218267674117,Zanzalu
muBuenos,4.8382828852494235,2.9058756067564104,Cluster Match,87.18977090463024,muBuenos
muBuenos,5.44784815068118,3.271980871279988,POAP Pairwise,87.18977090463024,muBuenos
muBuenos,2.8559728622596308,1.7152990163721504,Qf,87.18977090463024,muBuenos
muBuenos,2.7055717889908033,1.6249680414359178,Pairwise,87.18977090463024,muBuenos
muBuenos,5.346089057962214,3.2108642990764045,POAP Qf,87.18977090463024,muBuenos
muBuenos,9.066144661585179,5.445131928879987,POAP Cluster Match,87.18977090463024,muBuenos
Blockravers Q1 - Vitalia + Colorado,20.173167755662863,12.116016670067784,POAP Qf,78.88496805608823,Blockravers Q1 ...
Blockravers Q1 - Vitalia + Colorado,10.424354118739481,6.260873344588277,Cluster Match,78.88496805608823,Blockravers Q1 ...
Blockravers Q1 - Vitalia + Colorado,11.277173244281597,6.773077023592551,Qf,78.88496805608823,Blockravers Q1 ...
Blockravers Q1 - Vitalia + Colorado,19.445403111696663,11.678920787805804,POAP Pairwise,78.88496805608823,Blockravers Q1 ...
Blockravers Q1 - Vitalia + Colorado,9.53331779510325,5.7257163934554045,Pairwise,78.88496805608823,Blockravers Q1 ...
Blockravers Q1 - Vitalia + Colorado,15.566326701262598,9.349145165923483,POAP Cluster Match,78.88496805608823,Blockravers Q1 ...
Funding the Commons,7.337057892722712,4.406641377010638,POAP Pairwise,69.60959308094287,Funding the Commons
Funding the Commons,13.358516665458087,8.02313313240726,POAP Cluster Match,69.60959308094287,Funding the Commons
Funding the Commons,6.095108622471067,3.6607258993820224,Qf,69.60959308094287,Funding the Commons
Funding the Commons,10.36109419442926,6.22287939605361,Cluster Match,69.60959308094287,Funding the Commons
Funding the Commons,6.127916171133799,3.6804301328130924,Pairwise,69.60959308094287,Funding the Commons
Funding the Commons,10.33788893241464,6.208942301750534,POAP Qf,69.60959308094287,Funding the Commons
ZuVillage Georgia 2024,2.885559214709596,1.7330685974231808,POAP Qf,44.921792206646074,ZuVillage Georg...
ZuVillage Georgia 2024,3.7270760686338424,2.238484125305611,POAP Pairwise,44.921792206646074,ZuVillage Georg...
ZuVillage Georgia 2024,4.2292542808892275,2.5400926611947314,Cluster Match,44.921792206646074,ZuVillage Georg...
ZuVillage Georgia 2024,2.802709978046244,1.6833092961238705,Pairwise,44.921792206646074,ZuVillage Georg...
