Project,Cluster Match,POAP Cluster Match,POAP Pairwise,POAP Qf,Pairwise,Qf,crowdfunded_amountUSD,eligible_voters_count,poap_voters_count
Akiya Collective,4.351134096982536,6.042132435075612,1.3995430022592312,1.7945032679179183,4.946857110562802,3.1524615151177584,1788.4425908864935,438,16
Antalpha HackerHouse,3.4124452345556673,0.5374829902116038,0.8429461943076679,0.32254676636795787,4.23471449990974,2.802765946090277,1181.399915709187,406,11
Ayllu,3.547581781300111,1.7350007763515234,0.3166979167402931,0.54687536611145,3.1506357412724264,1.9619821939220745,1036.7188127646798,372,13
BYOC,2.0785934339374657,0.1993285089660862,0.4311421171425392,0.7885059385109754,2.073698533317445,1.5785814815136003,2339.076312701681,338,9
Blockravers Q1 - Vitalia + Colorado,10.424354118739481,15.566326701262598,19.445403111696663,20.173167755662863,9.53331779510325,11.277173244281597,6292.318387983446,553,44
Builder Monastery 🛠️,4.150522416052845,4.3847720673099,2.191001082408109,3.0258900653995173,5.0392155964019025,3.3377794988235516,1616.7492853014096,455,22
Digitalia: a Zu-Village in Italy,5.123760311738325,4.227294848648756,2.3735333437652137,1.8891842053733516,5.461283671287706,3.324704659659099,1835.3824630950576,472,18
Edge City ,30.472516588581552,49.38306452837957,83.25,83.25,31.053883897197526,63.02581494217645,26024.226312261195,849,78
Funding the Commons,10.36109419442926,13.358516665458087,7.337057892722712,10.33788893241464,6.127916171133799,6.095108622471067,4024.4347174792633,479,29
H.E.R. DAO Tech City,4.777898280959407,2.3979627524316247,0.746818180320076,0.7017287115514125,4.178675835653465,3.092353197821497,1365.7449107863563,423,13
JUJALU,1.9551156646757981,0.1563707455380249,0.10024387033055297,0.11268017742886383,2.4742266079985,1.4810484473029228,838.8349808598247,362,6
Masterminding Eden - Visionary Village,3.318758432992392,1.1149170093598746,0.41417180121258873,0.40939574143423596,4.677306673949983,2.9724272133657825,1371.0141510629205,452,13
MetaCamp IV,8.43199132032747,7.675160893294598,3.3031675963903067,3.655600196777832,7.759645797800762,7.664090065725903,3703.3296440362137,518,23
Moos: A Berlin hub for reimagining our cities,3.3957867365378425,3.110317144261119,1.2863663547085036,1.7751787704893742,2.1936054082865537,1.6859145603343653,819.563738538188,364,15
"PUPALU: A Zuzalu in the pristine paradise, Palau",1.463568254060604,0.13241922330620834,0.052433439899916987,0.05276326986375394,1.2822319969088607,0.8702770121338012,429.643013391487,305,6
Proof of Retreat,2.890652528177586,0.993719734273354,0.5593846085123801,0.4666342233165864,3.9505183898300498,2.3788231416428456,1322.0224370946953,419,10
Signature Singularity residency,2.64976950878293,1.3480962241962025,1.0582011126843525,2.2771548670899575,3.4783987807808465,2.4752798659485964,2468.4554302910587,387,10
Small brain crypto hackerhouse,1.726128191902401,0.5299291854287189,0.14989721150328716,0.1763874728212291,2.428643032343873,1.323040610447917,564.7332885974774,358,7
The Archipelago in Thailand Scouting,6.130497262160955,5.10305187605023,1.5481906863171349,1.9815813286501442,4.530251771835505,3.056971089694465,3150.760695343068,444,17
Vitalia,7.342375046969367,5.1158296285986875,14.584349875435228,7.1598466149195845,19.372214887213886,11.567772714333115,3854.1597041223536,705,40
Yanomami + ZuFloripa,3.0456738198683064,0.2096950601392056,0.21670512372731496,0.13776493991297886,3.8791398594033466,2.2561584842145703,882.2402967128661,423,8
Zanzalu,4.3879801928735835,4.076905032735494,3.707315474591609,4.557243743226362,2.430946165977821,2.1799551121038805,3012.1501194584885,359,19
Zozalu,2.265489236623574,0.004001488788298853,0.16911311065328988,0.19405967494061271,6.049782560329268,5.211868584064034,5624.042124321815,445,5
ZuBerlin,4.809864250531988,3.178033586832842,2.5340344617957196,1.9859919291964685,3.5940009639903203,3.533371768058417,5227.032763919699,401,21
ZuLead by DAOVOZ,3.3657325241145784,3.757177345169491,3.438837057424991,2.4831971925205805,3.0615917761639286,2.3386490536715896,1184.4948663875477,386,20
ZuVillage Georgia 2024,4.2292542808892275,8.38190151556796,3.7270760686338424,2.885559214709596,2.802709978046244,1.991114773542847,1080.9738543169963,383,31
Zuafrique Builders Program,4.325750153273946,2.3605377182909635,1.2383043269449916,1.0901178873357034,2.1376655580388384,2.017466023527465,1778.0234611248627,350,15
Zuzalu Taiwan - A plural pop-up city,4.793800728386024,4.604500466688978,1.7384214889826273,2.9452878857475806,2.00980846035869,2.0879934662139052,1614.7251599353744,341,19
magma African founder residency,6.410237162525233,5.324231901480576,2.4183532083741377,3.3227743112041392,3.536460418891484,2.947871509394873,1532.6545127366821,424,20
muBuenos,4.8382828852494235,9.066144661585179,5.44784815068118,5.346089057962214,2.7055717889908033,2.8559728622596308,2082.8774818247707,361,24
web3village,2.2586102634659344,0.013079736114955085,0.04003067726560202,0.02750134928998821,4.193014589683647,1.9465693873439236,703.5646638915665,415,5
xBound Residency,3.764781098334172,2.412097548203683,0.43341145256787894,0.6268991418521126,2.152065681336772,2.0086389527981194,1388.9007483027137,367,12
