Project,Cluster Match,POAP Cluster Match,POAP Pairwise,POAP Qf,Pairwise,Qf,crowdfunded_amountUSD,eligible_voters_count,poap_voters_count
Carbonvote 2.0,2.279096487415917,0.20121399745057245,0.2675667995274979,0.37000508551364436,2.2455817405694964,2.2152760481118734,695.0189540317749,584,9
Fiz: wearable wallets for accessing urban and rural communities,1.667023874715307,0.04055222174286277,0.027518080792761752,0.09235113048849566,1.3248195484825052,1.4243445744985117,500.12725656836,502,5
Fora,3.9255945093993088,7.0088744240082255,4.985112907590315,17.177616273407708,3.5454644471523453,4.077687376031805,4427.953840648116,693,21
Jinni Health,2.9676838004067077,5.952648014347279,6.206027050300662,8.092818284524713,1.6031262401171313,2.3148841467131924,2591.3781632696787,483,24
Lemonade,3.7850857864380707,5.478132808005179,2.7126450927953805,2.5681631663623388,3.317250156457331,3.208387054239186,1255.137306970935,655,15
LottoPGF,2.60993382725936,1.0308673202974976,1.519984681443323,1.7276445964712734,2.712432484208147,3.4512362844472633,2925.692241740678,570,10
MuseMatrix,2.57955230970354,2.67354280020375,10.543693834840287,2.551383616345709,2.3037706052657896,2.4761360394540923,1369.3715691686195,553,27
NFC + ZK for communities to privately digitize in-person attestations,4.309398254941244,3.7966262363360466,2.495659739051789,3.5456528248901926,5.100062302887301,4.677173644188883,1278.7407986852738,800,15
NeuroFusion,2.868507580825455,0.6657226235011647,0.8052580475469406,0.6869709996373001,2.8126332113991306,2.9276120414359244,892.8472530013398,646,11
"PLUME: Pseudonymously Linked Unique Message Entities, aka Verifiably Deterministic Signatures on Ethereum",2.7247557698199643,3.0425077713871387,0.9565471357273331,1.6177390652041892,2.0779339712737874,2.1147286816981103,900.1987033985936,540,10
Paideia Copilot,2.7762343539814585,2.8974229564708445,1.1486142890061741,2.345465313011594,1.7920268786603983,1.946012734867456,882.7569041068457,522,16
Polination Score,1.6209728127222753,0.032125745245833365,0.028229715091799144,0.09235171643146102,1.5790624492053715,1.544696370358407,525.1459556231077,517,5
Proof of Philanthropy: A Verifiable Giving Pledge for the Modern Age,3.672310131371767,0.51004719349262,0.7868205594844646,0.7910502646406041,3.829880301944552,4.102219270478768,3021.129274400408,648,9
Proof of passport,4.5263633939464,1.7467560334087928,1.2448879667819743,2.957268345057977,6.406346941999062,5.912604153061786,2465.6146079208966,828,10
Social Layer,4.720996773426318,5.05545014479881,6.792809401002163,5.0907527241092865,6.364180733017987,5.765582750693682,1639.4846050753706,851,21
StreamETH,3.2362161309276694,2.886492350155596,3.646823053057349,2.5004491447123707,3.390127515322188,3.245492426470772,983.1839592727493,671,15
SymBioTotem by Sympoiesis,1.524820645046206,0.5328155675106339,0.9605456036448076,0.6092672962101897,1.4125265572798729,1.4145599705816614,536.9855796981667,498,10
Vouch,1.7882964694685843,0.8511714358646854,1.270953805411445,0.7687561545351642,1.3152254979803746,1.417456664825694,554.5410808058164,486,13
Web3 Access Protocol ,3.420209151217244,0.0,0.004400556191244104,0.02990082709806847,7.412734192288775,5.602153808150251,1255.8171243997137,881,3
ZuForever,1.5447437249306053,0.29150750764834865,1.3507263029485173,0.4485143681510519,1.2972533509791304,1.4023253260519777,506.22642865848206,496,11
ZuTrust (by blockful),2.6386602810896127,0.5883974012010837,0.805035064197591,0.4491207196666132,3.0764394722427597,2.992497868348029,999.4489213109209,661,9
ZuWell,2.084852333620708,1.52677548817768,1.2776765619825945,1.0058753796467268,2.885777747999397,2.440891537322779,816.4058682891147,613,11
ZuWish,1.7985296950206595,0.8560093068619555,0.6385161584691359,0.6888381025129129,1.5523971090159587,1.632353800208046,591.3333449207414,508,10
Zupass,5.805339293413728,13.307422492351224,17.121848108096014,12.4005421158228,5.405054305972165,5.389075799395861,2336.414968651351,739,31
Zuzagora,3.77403429001277,11.562587989868609,7.621156483755036,6.763072694910633,1.9917699166710485,2.3148628141836483,1033.002079087219,558,26
Zuzalu City,3.4805498167381352,5.065405190379619,2.6446995767751775,2.7902872464667468,3.1378910129376267,3.1302618425324966,1066.159527185328,655,18
dTrials,2.799354994420263,2.0628978234098714,2.4207659031639377,1.9158922333155157,2.0336878984032536,2.232268182238494,1187.2942403993657,550,15
viaPrize,2.5708835077207146,3.8360271558740866,3.2154775213242615,3.4222503108547366,1.5745434102670999,2.1272187894113532,1677.5665276062634,511,16
